column_name,use,description,data_type,num_missing_values,num_unique_values
CNT,n,Country code 3-character,character,0,1
CNTRYID,n,Country Identifier,numeric,0,1
CNTSCHID,y,Intl. School ID,numeric,0,164
CNTSTUID,y,Intl. Student ID,numeric,0,6606
CYC,n,PISA Assessment Cycle (2 digits + 2 character Assessment type - MS/FT),character,0,1
NatCen,n,National Centre 6-digit Code,character,0,1
STRATUM,n,Stratum ID 5-character (cnt + original stratum ID),character,0,2
SUBNATIO,n,Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID),character,0,1
REGION,n,REGION,numeric,0,1
OECD,n,OECD country,numeric,0,1
ADMINMODE,n,Mode of Respondent,numeric,0,1
LANGTEST_QQQ,n,Language of Questionnaire,numeric,39,2
LANGTEST_COG,n,Language of Assessment,numeric,0,1
LANGTEST_PAQ,n,Language of Parent Questionnaire,numeric,6606,1
Option_CT,n,Creative Thinking Option,numeric,6606,1
Option_FL,n,Financial Literacy Option,numeric,6606,1
Option_ICTQ,n,ICT Questionnaire Option,numeric,0,1
Option_WBQ,n,Well-Being Questionnaire Option,numeric,0,1
Option_PQ,n,Parent Questionnaire Option,numeric,0,1
Option_TQ,n,Teacher Questionnaire Option,numeric,0,1
Option_UH,n,Une Heure Option,numeric,0,1
BOOKID,n,Form Identifier,numeric,0,66
ST001D01T,,Student International Grade (Derived),numeric,0,5
ST003D02T,,Student (Standardized) Birth - Month,numeric,0,12
ST003D03T,,Student (Standardized) Birth -Year,numeric,0,1
ST004D01T,y,Student (Standardized) Gender,numeric,0,2
ST250Q01JA,nn,Which of the following are in your [home]: A room of your own,numeric,66,3
ST250Q02JA,nn,"Which of the following are in your [home]: A computer (laptop, desktop, or tablet) that you can use for school work",numeric,45,3
ST250Q03JA,nn,Which of the following are in your [home]: Educational Software or Apps,numeric,60,3
ST250Q04JA,nn,Which of the following are in your [home]: Your own [cell phone] with Internet access (e.g. smartphone),numeric,46,3
ST250Q05JA,nn,Which of the following are in your [home]: Internet access (e.g. Wi-fi) (excluding through smartphones),numeric,46,3
ST250D06JA,nn,Which of the following are in your home? <Country-specific item 1>,character,0,3
ST250D07JA,nn,Which of the following are in your home? <Country-specific item 2>,character,0,3
ST251Q01JA,nn,"How many of these items are there at your [home]: Cars, vans, or trucks",numeric,47,5
ST251Q02JA,nn,How many of these items are there at your [home]: Mopeds or motorcycles,numeric,78,5
ST251Q03JA,nn,How many of these items are there at your [home]: Rooms with a bath or shower,numeric,51,5
ST251Q04JA,nn,How many of these items are there at your [home]: Rooms with a [flush toilet],numeric,62,5
ST251Q06JA,nn,"How many of these items are there at your [home]: Musical instruments (e.g. guitar, piano, [country-specific example])",numeric,47,5
ST251Q07JA,nn,"How many of these items are there at your [home]: Works of art (e.g. paintings, sculptures, [country-specific example])",numeric,42,5
ST251D08JA,nn,How many of these items are there at your home? <Country-specific item 1>,character,0,1
ST251D09JA,nn,How many of these items are there at your home? <Country-specific item 2>,character,0,1
ST253Q01JA,nn,How many [digital devices] with screens are there in your [home]?,numeric,41,9
ST254Q01JA,nn,How many of the following [digital devices] are in your [home]: Televisions,numeric,134,6
ST254Q02JA,nn,How many of the following [digital devices] are in your [home]: Desktop computers,numeric,188,6
ST254Q03JA,nn,How many of the following [digital devices] are in your [home]: Laptop computers or notebooks,numeric,176,6
ST254Q04JA,nn,"How many of the following [digital devices] are in your [home]: Tablets (e.g. [iPad®], [BlackBerry® Playbook™])",numeric,117,6
ST254Q05JA,nn,"How many of the following [digital devices] are in your [home]: E-book readers (e.g. [Kindle™], [Kobo], [Bookeen])",numeric,120,6
ST254Q06JA,nn,How many of the following [digital devices] are in your [home]: [Cell phones] with Internet access (i.e. smartphones),numeric,58,6
ST255Q01JA,nn,How many books are there in your [home]?,numeric,44,8
ST256Q01JA,nn,"How many of these books at [home]: Religious books (e.g. [Bible], [Example 2])",numeric,359,6
ST256Q02JA,nn,"How many of these books at [home]: Classical literature (e.g. [Shakespeare], [Example 2])",numeric,347,6
ST256Q03JA,nn,How many of these books at [home]: Contemporary literature,numeric,357,6
ST256Q06JA,nn,How many of these books at [home]: Books on science,numeric,318,6
ST256Q07JA,nn,"How many of these books at [home]: Books on art, music, or design",numeric,339,6
ST256Q08JA,nn,How many of these books at [home]: [Technical reference books],numeric,377,6
ST256Q09JA,nn,How many of these books at [home]: Dictionaries,numeric,299,6
ST256Q10JA,nn,How many of these books at [home]: Books to help with your school work,numeric,278,6
ST230Q01JA,,"How many siblings (including brothers, sisters, step-brothers, and step-sisters) do you have?",numeric,43,5
ST005Q01JA,nn,What is the [highest level of schooling] completed by your mother?,numeric,86,5
ST006Q01JA,nn,Does your mother have any of the following qualifications: [ISCED level 8],numeric,892,3
ST006Q02JA,nn,Does your mother have any of the following qualifications: [ISCED level 7],numeric,752,3
ST006Q03JA,nn,Does your mother have any of the following qualifications: [ISCED level 6],numeric,545,3
ST006Q04JA,nn,Does your mother have any of the following qualifications: [ISCED level 5],numeric,686,3
ST006Q05JA,nn,Does your mother have any of the following qualifications: [ISCED level 4],numeric,657,3
ST007Q01JA,nn,What is the [highest level of schooling] completed by your father?,numeric,103,5
ST008Q01JA,nn,Does your father have any of the following qualifications: [ISCED level 8],numeric,1034,3
ST008Q02JA,nn,Does your father have any of the following qualifications: [ISCED level 7],numeric,794,3
ST008Q03JA,nn,Does your father have any of the following qualifications: [ISCED level 6],numeric,638,3
ST008Q04JA,nn,Does your father have any of the following qualifications: [ISCED level 5],numeric,748,3
ST008Q05JA,nn,Does your father have any of the following qualifications: [ISCED level 4],numeric,736,3
ST258Q01JA,,"In the past 30 days, how often did you not eat because there was not enough money to buy food?",numeric,46,6
ST259Q01JA,,Now think about where you would place your family on this scale. Where would you say your family stands at this time?,numeric,6606,1
ST259Q02JA,,Now think about where you would place your family on this scale. Where do you think you will stand when you are 30?,numeric,6606,1
ST019AQ01T,,In what country were you and your parents born? You,numeric,142,4
ST019BQ01T,,In what country were you and your parents born? Mother,numeric,64,4
ST019CQ01T,,In what country were you and your parents born? Father,numeric,76,4
ST021Q01TA,,How old were you when you arrived in [country of test]?,numeric,5266,18
ST022Q01TA,,What language do you speak at home most of the time?,numeric,42,3
ST226Q01JA,,How long have you been enrolled at this school?,numeric,46,6
ST125Q01NA,,How old were you when you started [ISCED 0]: Years,numeric,56,9
ST126Q01TA,,How old were you when you started [ISCED 1]: Years,numeric,52,8
ST127Q01TA,,Have you ever repeated a [grade]: At [ISCED 1],numeric,63,4
ST127Q02TA,,Have you ever repeated a [grade]: At [ISCED 2],numeric,75,4
ST127Q03TA,,Have you ever repeated a [grade]: At [ISCED 3],numeric,95,4
ST260Q01JA,,Have you ever missed school for more than three months in a row: At [ISCED 1],numeric,59,4
ST260Q02JA,,Have you ever missed school for more than three months in a row: At [ISCED 2],numeric,71,4
ST260Q03JA,,Have you ever missed school for more than three months in a row: At [ISCED 3],numeric,80,4
ST261Q01JA,,Why miss school for 3+ months: I was bored.,numeric,6313,3
ST261Q02JA,,"Why miss school for 3+ months: I was suspended for something (e.g. violence, aggression, use of drugs, drug dealing).",numeric,6316,3
ST261Q03JA,,Why miss school for 3+ months: I was pregnant.,numeric,6319,3
ST261Q04JA,,Why miss school for 3+ months: I could not reach school because of transportation problems.,numeric,6317,3
ST261Q05JA,,Why miss school for 3+ months: I had to take care of a family member.,numeric,6318,3
ST261Q06JA,,"Why miss school for 3+ months: I had to help with work at home, the family business, or on the family land.",numeric,6319,3
ST261Q07JA,,Why miss school for 3+ months: I had to get work to bring money home.,numeric,6322,3
ST261Q08JA,,Why miss school for 3+ months: I was sick.,numeric,6303,3
ST261Q09JA,,Why miss school for 3+ months: I did not feel safe at school.,numeric,6316,3
ST261Q10JA,,Why miss school for 3+ months: I could not pay [school fees].,numeric,6319,3
ST261Q11JA,,"Why miss school for 3+ months: School was closed because of a natural disaster (e.g. flood, earthquake).",numeric,6320,3
ST062Q01TA,,"In the last two full weeks of school, how often: I [skipped] a whole school day",numeric,60,5
ST062Q02TA,,"In the last two full weeks of school, how often: I [skipped] some classes",numeric,59,5
ST062Q03TA,,"In the last two full weeks of school, how often: I arrived late for school",numeric,49,5
ST267Q01JA,,Agree/disagree: The teachers at my school are respectful towards me.,numeric,2459,5
