"Year","Month","Day","daily_rainfall","date","season","if_rain"
"1983",7,"1",8.7,1983-07-01,"dry",TRUE
"1983",7,"2",0,1983-07-02,"dry",FALSE
"1983",7,"3",5.3,1983-07-03,"dry",TRUE
"1983",7,"4",6.2,1983-07-04,"dry",TRUE
"1983",7,"5",39.5,1983-07-05,"dry",TRUE
"1983",7,"6",14.9,1983-07-06,"dry",TRUE
"1983",7,"7",0,1983-07-07,"dry",FALSE
"1983",7,"8",0,1983-07-08,"dry",FALSE
"1983",7,"9",10.5,1983-07-09,"dry",TRUE
"1983",7,"10",55.5,1983-07-10,"dry",TRUE
"1983",7,"11",1,1983-07-11,"dry",TRUE
"1983",7,"12",3,1983-07-12,"dry",TRUE
"1983",7,"13",4.5,1983-07-13,"dry",TRUE
"1983",7,"14",0,1983-07-14,"dry",FALSE
"1983",7,"15",0,1983-07-15,"dry",FALSE
"1983",7,"16",0,1983-07-16,"dry",FALSE
"1983",7,"17",7.9,1983-07-17,"dry",TRUE
"1983",7,"18",1.3,1983-07-18,"dry",TRUE
"1983",7,"19",0,1983-07-19,"dry",FALSE
"1983",7,"20",4.1,1983-07-20,"dry",TRUE
"1983",7,"21",0,1983-07-21,"dry",FALSE
"1983",7,"22",0,1983-07-22,"dry",FALSE
"1983",7,"23",8.7,1983-07-23,"dry",TRUE
"1983",7,"24",0,1983-07-24,"dry",FALSE
"1983",7,"25",1.9,1983-07-25,"dry",TRUE
"1983",7,"26",0,1983-07-26,"dry",FALSE
"1983",7,"27",6.1,1983-07-27,"dry",TRUE
"1983",7,"28",2,1983-07-28,"dry",TRUE
"1983",7,"29",0,1983-07-29,"dry",FALSE
"1983",7,"30",8.9,1983-07-30,"dry",TRUE
"1983",7,"31",0,1983-07-31,"dry",FALSE
"1983",12,"1",2.8,1983-12-01,"wet",TRUE
"1983",12,"2",1.7,1983-12-02,"wet",TRUE
"1983",12,"3",5,1983-12-03,"wet",TRUE
"1983",12,"4",8.2,1983-12-04,"wet",TRUE
"1983",12,"5",0,1983-12-05,"wet",FALSE
"1983",12,"6",0,1983-12-06,"wet",FALSE
"1983",12,"7",0,1983-12-07,"wet",FALSE
"1983",12,"8",19.8,1983-12-08,"wet",TRUE
"1983",12,"9",48.1,1983-12-09,"wet",TRUE
"1983",12,"10",21.1,1983-12-10,"wet",TRUE
"1983",12,"11",0.6,1983-12-11,"wet",TRUE
